Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Level,Pedestal Height,Center Height (Pedestal Height+1/2Height),Distance to Surface (Distance-1/2depth),Scaled Height
A3,1,9.9,15.1,7.5,118,86,93.55,49.25,37
A3,2,9.9,15.1,7.5,126,112,119.55,44.25,57
A3,3,9.9,15.1,7.5,146,123,130.55,61.25,27
A3,4,9.9,15.1,7.5,124,109,116.55,31.25,46
A3,5,9.9,15.1,7.5,143,112,119.55,121.25,46
A3,6,9.9,15.1,7.5,127,108,115.55,30.25,16
A3,7,9.9,15.1,7.5,130,111,118.55,40.25,26
A3,8,9.9,15.1,7.5,146,131,138.55,48.25,36
A3,9,9.9,15.1,7.5,140,113,120.55,46.25,21
A3,10,9.9,15.1,7.5,146,134,141.55,49.25,21
A3,11,9.9,15.1,7.5,145,128,135.55,61.25,22
A3,12,9.9,15.1,7.5,130,111,118.55,40.25,30
A3,13,9.9,15.1,7.5,139,51,58.55,121.25,31
A3,14,9.9,15.1,7.5,151,60,67.55,187.25,27
A3,15,9.9,15.1,7.5,146,112,119.55,207.25,25
A3,16,9.9,15.1,7.5,134,123,130.55,128.25,37
A3,17,9.9,15.1,7.5,135,131,138.55,48.25,39
A3,18,9.9,15.1,7.5,150,79,86.55,219.25,37
A3,19,9.9,15.1,7.5,100,91,98.55,41.25,21
A3,20,9.9,15.1,7.5,108,121,128.55,48.25,14
A20,1,54,218.5,45,119,28,137.25,330.5,67
A20,2,54,218.5,45,118,0,109.25,324.5,80
A20,3,54,218.5,45,148,48,157.25,230.5,51
A20,4,54,218.5,45,130,0,109.25,185.5,61
A20,5,54,218.5,45,145,0,109.25,358.5,61
A20,6,54,218.5,45,128,0,109.25,209.5,25
A20,7,54,218.5,45,134,60,169.25,148.5,16
A20,8,54,218.5,45,147,24,133.25,195.5,34
A20,9,54,218.5,45,144,13,122.25,173.5,37
A20,10,54,218.5,45,148,0,109.25,185.5,19
A20,11,54,218.5,45,146,0,109.25,95.5,75
A20,12,54,218.5,45,137,60,169.25,148.5,122
A20,13,54,218.5,45,138,15,124.25,289.5,34
A20,14,54,218.5,45,153,0,109.25,294.5,22
A20,15,54,218.5,45,140,0,109.25,161.5,59
A20,16,54,218.5,45,135,0,109.25,204.5,67
A20,17,54,218.5,45,136,108,217.25,121.5,86
A20,18,54,218.5,45,151,16,125.25,286.5,52
A20,19,54,218.5,45,103,30,139.25,487.5,33
A20,20,54,218.5,45,108,0,109.25,278.5,43
A18,1,64.48,98.43,57.27,116,59,108.215,121.365,52
A18,2,64.48,98.43,57.27,119,57,106.215,94.365,58
A18,3,64.48,98.43,57.27,145,76,125.215,210.365,28
A18,4,64.48,98.43,57.27,127,51,100.215,98.365,47
A18,5,64.48,98.43,57.27,143,61,110.215,486.365,47
A18,6,64.48,98.43,57.27,127,51,100.215,154.365,28
A18,7,64.48,98.43,57.27,134,120,169.215,96.365,23
A18,8,64.48,98.43,57.27,147,96,145.215,79.365,45
A18,9,64.48,98.43,57.27,143,85,134.215,107.365,28
A18,10,64.48,98.43,57.27,147,87,136.215,76.365,16
A18,11,64.48,98.43,57.27,146,81,130.215,81.365,48
A18,12,64.48,98.43,57.27,134,120,169.215,96.365,61
A18,13,64.48,98.43,57.27,138,74,123.215,180.365,30
A18,14,64.48,98.43,57.27,151,63,112.215,153.365,45
A18,15,64.48,98.43,57.27,137,60,109.215,82.365,46
A18,16,64.48,98.43,57.27,117,93,142.215,88.365,29
A18,17,64.48,98.43,57.27,135,120,169.215,204.365,55
A18,18,64.48,98.43,57.27,150,71,120.215,160.365,43
A18,19,64.48,98.43,57.27,103,78,127.215,372.365,28
A18,20,64.48,98.43,57.27,108,54,103.215,78.365,47
A4,1,10.4,15.4,10.4,115,92,99.7,63.8,49
A4,2,10.4,15.4,10.4,117,100,107.7,86.8,65
A4,3,10.4,15.4,10.4,144,120,127.7,50.8,18
A4,4,10.4,15.4,10.4,121,104,111.7,38.8,40
A4,5,10.4,15.4,10.4,144,112,119.7,225.8,40
A4,6,10.4,15.4,10.4,121,104,111.7,38.8,43
A4,7,10.4,15.4,10.4,131,115,122.7,36.8,19
A4,8,10.4,15.4,10.4,145,131,138.7,47.8,40
A4,9,10.4,15.4,10.4,140,112,119.7,35.8,24
A4,10,10.4,15.4,10.4,145,125,132.7,44.8,23
A4,11,10.4,15.4,10.4,144,112,119.7,105.8,34
A4,12,10.4,15.4,10.4,131,115,122.7,36.8,34
A4,13,10.4,15.4,10.4,136,95,102.7,62.8,46
A4,14,10.4,15.4,10.4,151,117,124.7,128.8,42
A4,15,10.4,15.4,10.4,138,114,121.7,85.8,25
A4,16,10.4,15.4,10.4,133,121,128.7,66.8,28
A4,17,10.4,15.4,10.4,134,120,127.7,224.8,34
A4,18,10.4,15.4,10.4,150,126,133.7,120.8,45
A4,19,10.4,15.4,10.4,102,86,93.7,143.8,25
A4,20,10.4,15.4,10.4,107,96,103.7,34.8,59
A13,1,34,42.9,34,116,76,97.45,106,27
A13,2,34,42.9,34,115,86,107.45,74,52
A13,3,34,42.9,34,145,97,118.45,82,28
A13,4,34,42.9,34,126,93,114.45,109,21
A13,5,34,42.9,34,142,104,125.45,40,21
A13,6,34,42.9,34,126,93,114.45,41,29
A13,7,34,42.9,34,132,111,132.45,61,36
A13,8,34,42.9,34,146,110,131.45,74,33
A13,9,34,42.9,34,142,106,127.45,61,25
A13,10,34,42.9,34,147,116,137.45,54,25
A13,11,34,42.9,34,144,102,123.45,39,24
A13,12,34,42.9,34,132,111,132.45,61,46
A13,13,34,42.9,34,138,79,100.45,163,31
A13,14,34,42.9,34,150,60,81.45,160,28
A13,15,34,42.9,34,140,110,131.45,97,20
A13,16,34,42.9,34,134,120,141.45,106,32
A13,17,34,42.9,34,135,102,123.45,150,48
A13,18,34,42.9,34,145,60,81.45,69,51
A13,19,34,42.9,34,105,83,104.45,100,23
A13,20,34,42.9,34,107,60,81.45,90,70
A11,1,11.4,25.4,11.4,116,86,98.7,80.3,40
A11,2,11.4,25.4,11.4,125,94,106.7,61.3,57
A11,3,11.4,25.4,11.4,145,110,122.7,79.3,24
A11,4,11.4,25.4,11.4,145,109,121.7,89.3,29
A11,5,11.4,25.4,11.4,144,106,118.7,232.3,29
A11,6,11.4,25.4,11.4,140,113,125.7,52.3,48
A11,7,11.4,25.4,11.4,135,109,121.7,57.3,48
A11,8,11.4,25.4,11.4,149,129,141.7,58.3,48
A11,9,11.4,25.4,11.4,140,100,112.7,57.3,31
A11,10,11.4,25.4,11.4,146,119,131.7,62.3,30
A11,11,11.4,25.4,11.4,143,107,119.7,81.3,40
A11,12,11.4,25.4,11.4,135,110,122.7,57.3,43
A11,13,11.4,25.4,11.4,135,96,108.7,163.3,77
A11,14,11.4,25.4,11.4,151,105,117.7,158.3,31
A11,15,11.4,25.4,11.4,139,114,126.7,107.3,28
A11,16,11.4,25.4,11.4,138,93,105.7,110.3,38
A11,17,11.4,25.4,11.4,142,104,116.7,266.3,29
A11,18,11.4,25.4,11.4,149,112,124.7,143.3,32
A11,19,11.4,25.4,11.4,101,83,95.7,118.3,31
A11,20,11.4,25.4,11.4,103,84,96.7,41.3,48
A2,1,11,11,11,115,91,96.5,56.5,38
