Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Height,Desk Height,Center Height,,G,realDIS,,Distance to Surface,Width,Height,Depth,Shape,Texture,Volume,VolimeAfter,Multiple,,,,
A3,1,9.9,15.1,7.5,118,86,93.55,24.45,53,3406.8025,58.36782076,49.25,24.25827815,37,18.37748344,5,3,1121.175,16494.82588,14.71208855,101.1,,,101.1
A3,2,9.9,15.1,7.5,126,112,119.55,6.45,48,2345.6025,48.43142059,44.25,37.37086093,57,28.31125828,5,5,1121.175,60306.91746,53.78903156,127.1,,,127.1
A3,3,9.9,15.1,7.5,146,123,130.55,15.45,65,4463.7025,66.81094596,61.25,17.70198675,27,13.41059603,3,3,1121.175,6409.643217,5.716898091,138.1,,,138.1
A3,4,9.9,15.1,7.5,124,109,116.55,7.45,35,1280.5025,35.7841096,31.25,30.1589404,46,22.84768212,3,3,1121.175,31696.84663,28.27109651,124.1,,,124.1
A3,5,9.9,15.1,7.5,143,112,119.55,23.45,125,16174.9025,127.1805901,121.25,30.1589404,46,22.84768212,5,2,1121.175,31696.84663,28.27109651,127.1,,,127.1
A3,6,9.9,15.1,7.5,127,108,115.55,11.45,34,1287.1025,35.87621078,30.25,10.49006623,16,7.947019868,5,5,1121.175,1333.836235,1.189677111,123.1,,,123.1
A3,7,9.9,15.1,7.5,130,111,118.55,11.45,44,2067.1025,45.46539893,40.25,17.04635762,26,12.91390728,7,7,1121.175,5723.512127,5.104923073,126.1,,,126.1
A3,8,9.9,15.1,7.5,146,131,138.55,7.45,52,2759.5025,52.53096706,48.25,23.60264901,36,17.8807947,3,5,1121.175,15193.22837,13.55116585,146.1,,,146.1
A3,9,9.9,15.1,7.5,140,113,120.55,19.45,50,2878.3025,53.64981361,46.25,13.76821192,21,10.43046358,,,1121.175,3015.785492,,128.1,,,128.1
A3,10,9.9,15.1,7.5,146,134,141.55,4.45,53,2828.8025,53.18648795,49.25,13.76821192,21,10.43046358,6,1,1121.175,3015.785492,2.689843684,149.1,,,149.1
A3,11,9.9,15.1,7.5,145,128,135.55,9.45,65,4314.3025,65.68335025,61.25,14.42384106,22,10.92715232,6,6,1121.175,3467.453182,3.092695772,143.1,,,143.1
A3,12,9.9,15.1,7.5,130,111,118.55,11.45,44,2067.1025,45.46539893,40.25,19.66887417,30,14.90066225,7,3,1121.175,8792.377527,7.842109864,126.1,,,126.1
A3,13,9.9,15.1,7.5,139,51,58.55,80.45,125,22097.2025,148.6512782,121.25,20.32450331,31,15.39735099,5,6,1121.175,9701.248849,8.652751666,66.1,,,66.1
A3,14,9.9,15.1,7.5,151,60,67.55,83.45,191,43444.9025,208.4344081,187.25,17.70198675,27,13.41059603,4,4,1121.175,6409.643217,5.716898091,75.1,,,75.1
A3,15,9.9,15.1,7.5,146,112,119.55,26.45,211,45220.6025,212.6513637,207.25,16.39072848,25,12.41721854,6,5,1121.175,5088.181439,4.538258023,127.1,,,127.1
A3,16,9.9,15.1,7.5,134,123,130.55,3.45,132,17435.9025,132.0450775,128.25,24.25827815,37,18.37748344,6,5,1121.175,16494.82588,14.71208855,138.1,,,138.1
A3,17,9.9,15.1,7.5,135,131,138.55,-3.55,52,2716.6025,52.12103702,48.25,25.56953642,39,19.37086093,5,4,1121.175,19316.85343,17.22911537,146.1,,,146.1
A3,18,9.9,15.1,7.5,150,79,86.55,63.45,223,53754.9025,231.8510351,219.25,24.25827815,37,18.37748344,6,3,1121.175,16494.82588,14.71208855,94.1,5.117647059,4.117647059,94.1
A3,19,9.9,15.1,7.5,100,91,98.55,1.45,45,2027.1025,45.02335505,41.25,13.76821192,21,10.43046358,,,1121.175,3015.785492,,106.1,,,106.1
A3,20,9.9,15.1,7.5,108,121,128.55,-20.55,52,3126.3025,55.91334814,48.25,9.178807947,14,6.953642384,,,1121.175,893.5660717,,136.1,,,136.1
A20,1,54,218.5,45,119,28,137.25,-18.25,353,124942.0625,353.4714451,330.5,16.5583524,67,13.798627,6,3,530955,15308.32941,0.028831689,246.5,,,246.5
A20,2,54,218.5,45,118,0,109.25,8.75,347,120485.5625,347.1103031,324.5,19.77116705,80,16.47597254,6,6,530955,26059.93643,0.049081253,218.5,,,218.5
A20,3,54,218.5,45,148,48,157.25,-9.25,253,64094.5625,253.1690394,230.5,12.60411899,51,10.50343249,7,5,530955,6751.712163,0.012716166,266.5,,,266.5
A20,4,54,218.5,45,130,0,109.25,20.75,208,43694.5625,209.0324437,185.5,15.07551487,61,12.56292906,6,4,530955,11552.95006,0.021758812,218.5,,,218.5
A20,5,54,218.5,45,145,0,109.25,35.75,381,146439.0625,382.6735717,358.5,15.07551487,61,12.56292906,4,3,530955,11552.95006,0.021758812,218.5,,,218.5
A20,6,54,218.5,45,128,0,109.25,18.75,232,54175.5625,232.7564446,209.5,6.178489703,25,5.148741419,4,5,530955,795.2861459,0.001497841,218.5,,,218.5
A20,7,54,218.5,45,134,60,169.25,-35.25,171,30483.5625,174.5954252,148.5,3.95423341,16,3.295194508,7,6,530955,208.4794914,0.00039265,278.5,,,278.5
A20,8,54,218.5,45,147,24,133.25,13.75,218,47713.0625,218.4331992,195.5,8.402745995,34,7.00228833,6,3,530955,2000.507307,0.003767753,242.5,,,242.5
A20,9,54,218.5,45,144,13,122.25,21.75,196,38889.0625,197.2030996,173.5,9.14416476,37,7.6201373,,,530955,2578.152266,,231.5,,,231.5
A20,10,54,218.5,45,148,0,109.25,38.75,208,44765.5625,211.5787383,185.5,4.695652174,19,3.913043478,6,1,530955,349.1115312,0.000657516,218.5,,,218.5
A20,11,54,218.5,45,146,0,109.25,36.75,118,15274.5625,123.590301,95.5,18.53546911,75,15.44622426,7,6,530955,21472.72594,0.040441706,218.5,,,218.5
A20,12,54,218.5,45,137,60,169.25,-32.25,171,30281.0625,174.0145468,148.5,30.15102975,122,25.12585812,7,5,530955,92423.60048,0.174070497,278.5,,,278.5
A20,13,54,218.5,45,138,15,124.25,13.75,312,97533.0625,312.3028378,289.5,8.402745995,34,7.00228833,6,7,530955,2000.507307,0.003767753,233.5,,,233.5
A20,14,54,218.5,45,153,0,109.25,43.75,317,102403.0625,320.0047851,294.5,5.437070938,22,4.530892449,6,6,530955,541.9652404,0.001020737,218.5,,,218.5
A20,15,54,218.5,45,140,0,109.25,30.75,184,34801.5625,186.551769,161.5,14.5812357,59,12.15102975,7,7,530955,10453.4447,0.019688005,218.5,,,218.5
A20,16,54,218.5,45,135,0,109.25,25.75,227,52192.0625,228.4558218,204.5,16.5583524,67,13.798627,6,5,530955,15308.32941,0.028831689,218.5,,,218.5
A20,17,54,218.5,45,136,108,217.25,-81.25,144,27337.5625,165.3407466,121.5,21.25400458,86,17.71167048,7,4,530955,32374.17759,0.060973487,326.5,,,326.5
A20,18,54,218.5,45,151,16,125.25,25.75,309,96144.0625,310.0710604,286.5,12.85125858,52,10.70938215,7,4,530955,7156.710042,0.013478939,234.5,6.176470588,4.705882353,234.5
A20,19,54,218.5,45,103,30,139.25,-36.25,510,261414.0625,511.2866735,487.5,8.155606407,33,6.796338673,,,530955,1829.132686,,248.5,,,248.5
A20,20,54,218.5,45,108,0,109.25,-1.25,301,90602.5625,301.0025955,278.5,10.62700229,43,8.85583524,,,530955,4046.772199,,,,,
A18,1,64.48,98.43,57.27,116,59,108.215,7.785,150,22560.60623,150.2018849,121.365,34.06441126,52,30.25540994,4,4,363479.3117,53592.90179,0.14744416,157.43,,,157.43
A18,2,64.48,98.43,57.27,119,57,106.215,12.785,123,15292.45623,123.6626711,94.365,37.99492025,58,33.74641877,6,7,363479.3117,74367.16442,0.204598067,155.43,,,155.43
A18,3,64.48,98.43,57.27,145,76,125.215,19.785,239,57512.44623,239.8175269,210.365,18.34237529,28,16.29137458,5,4,363479.3117,8367.030184,0.023019275,174.43,,,174.43
A18,4,64.48,98.43,57.27,127,51,100.215,26.785,127,16846.43623,129.793822,98.365,30.7889871,47,27.3462359,4,5,363479.3117,39572.25651,0.108870726,149.43,,,149.43
A18,5,64.48,98.43,57.27,143,61,110.215,32.785,515,266299.8562,516.0424946,486.365,30.7889871,47,27.3462359,3,4,363479.3117,39572.25651,0.108870726,159.43,,,159.43
A18,6,64.48,98.43,57.27,127,51,100.215,26.785,183,34206.43623,184.9498208,154.365,18.34237529,28,16.29137458,5,6,363479.3117,8367.030184,0.023019275,149.43,,,149.43
A18,7,64.48,98.43,57.27,134,120,169.215,-35.215,125,16865.09623,129.8656853,96.365,15.06695113,23,13.38220055,7,7,363479.3117,4637.466119,0.012758542,218.43,,,218.43
A18,8,64.48,98.43,57.27,147,96,145.215,1.785,108,11667.18623,108.01475,79.365,29.47881743,45,26.18256629,2,6,363479.3117,34732.39912,0.095555367,194.43,,,194.43
A18,9,64.48,98.43,57.27,143,85,134.215,8.785,136,18573.17623,136.2834408,107.365,18.34237529,28,16.29137458,,,363479.3117,8367.030184,,183.43,,,183.43
A18,10,64.48,98.43,57.27,147,87,136.215,10.785,105,11141.31623,105.5524335,76.365,10.48135731,16,9.309356903,6,3,363479.3117,1561.195136,0.004295142,185.43,,,185.43
A18,11,64.48,98.43,57.27,146,81,130.215,15.785,110,12349.16623,111.1268025,81.365,31.44407193,48,27.92807071,7,7,363479.3117,42152.26868,0.115968825,179.43,,,179.43
A18,12,64.48,98.43,57.27,134,120,169.215,-35.215,125,16865.09623,129.8656853,96.365,39.96017474,61,35.49192319,7,5,363479.3117,86514.07062,0.238016492,218.43,,,218.43
A18,13,64.48,98.43,57.27,138,74,123.215,14.785,209,43899.59623,209.5223048,180.365,19.65254496,30,17.45504419,5,7,363479.3117,10291.08122,0.028312701,172.43,,,172.43
A18,14,64.48,98.43,57.27,151,63,112.215,38.785,182,34628.27623,186.0867438,153.365,29.47881743,45,26.18256629,4,6,363479.3117,34732.39912,0.095555367,161.43,,,161.43
A18,15,64.48,98.43,57.27,137,60,109.215,27.785,111,13093.00623,114.4246749,82.365,30.13390227,46,26.7644011,6,6,363479.3117,37099.72896,0.102068337,158.43,,,158.43
A18,16,64.48,98.43,57.27,117,93,142.215,-25.215,117,14324.79623,119.6862408,88.365,18.99746012,29,16.87320939,6,6,363479.3117,9295.895552,0.025574758,191.43,,,191.43
A18,17,64.48,98.43,57.27,135,120,169.215,-34.215,233,55459.66623,235.4987606,204.365,36.02966575,55,32.00091436,6,6,363479.3117,63414.02364,0.174463915,218.43,,,218.43
A18,18,64.48,98.43,57.27,150,71,120.215,29.785,189,36608.14623,191.332554,160.365,28.16864777,43,25.01889668,6,4,363479.3117,30304.18499,0.083372517,169.43,5.235294118,5.470588235,169.43
A18,19,64.48,98.43,57.27,103,78,127.215,-24.215,401,161387.3662,401.7304646,372.365,18.34237529,28,16.29137458,,,363479.3117,8367.030184,,176.43,,,176.43
A18,20,64.48,98.43,57.27,108,54,103.215,4.785,107,11471.89623,107.1069383,78.365,30.7889871,47,27.3462359,,,363479.3117,39572.25651,,152.43,,,152.43
A4,1,10.4,15.4,10.4,115,92,99.7,15.3,69,4995.09,70.67595065,63.8,33.09090909,49,33.09090909,2,6,1665.664,53655.40496,32.21262209,107.4,,,107.4
A4,2,10.4,15.4,10.4,117,100,107.7,9.3,92,8550.49,92.46885962,86.8,43.8961039,65,43.8961039,6,2,1665.664,125246.4159,75.19308571,115.4,,,115.4
A4,3,10.4,15.4,10.4,144,120,127.7,16.3,56,3401.69,58.32400878,50.8,12.15584416,18,12.15584416,4,4,1665.664,2659.761849,1.596817755,135.4,,,135.4
A4,4,10.4,15.4,10.4,121,104,111.7,9.3,44,2022.49,44.97210246,38.8,27.01298701,40,27.01298701,5,7,1665.664,29188.05869,17.52337728,119.4,,,119.4
A4,5,10.4,15.4,10.4,144,112,119.7,24.3,231,53951.49,232.2746004,225.8,27.01298701,40,27.01298701,2,4,1665.664,29188.05869,17.52337728,127.4,,,127.4
